
nombreUsr;contrasena;bloqueado;nombre;apellido1;apellido2
asanjad;Abc123.,;false;ADRIAN;SANTAYA;JADO
jzapvil;Abc123.,;false;JORGE;ZAPORTA;VILLAQUIRAN
eonderg;Abc123.,;false;ENRIQUE;ONDARZA;ERGUETA
dpaspin;Abc123.,;false;DIEGO;PASCUAS;PINTOS
ftabmon;Abc123.,;false;FRANCISCO JOSE;TABLERO;MONTILA
jgarcom;Abc123.,;false;JULIA;GARCIA DE JALON;COMERAS
ehengoi;Abc123.,;false;EMILIO;HENAR;GOITIZ
rrafdel;Abc123.,;false;RUBEN;RAFELS;DELEITO
jzancoc;Abc123.,;false;JULIAN;ZANABRIA;COCINERO
mdanasc;Abc123.,;false;MARIO;DANCAUSA;ASCARZA
agonipa;Abc123.,;false;ALFONSO;GONJAR;IPAS
ivelojo;Abc123.,;false;IVAN;VELADA;OJOPI
strovea;Abc123.,;false;SANTIAGO;TROITEIRO;VEA MURGUIA
mapisos;Abc123.,;false;MARCOS;APINANIZ;SOSTRES
jcarbon;Abc123.,;false;JOSE MIGUEL;CARRERA;BONAVILA
jsanmat;Abc123.,;false;JUAN MANUEL;SAN ILDEFONSO;MATAMORO
mhincar;Abc123.,;false;MARIA;HINESTROZA;CARGUA
candsar;Abc123.,;false;CARMEN;ANDIACH;SARSA
apegalb;Abc123.,;false;ANA MARIA;PEG;ALBITE
lde cha;Abc123.,;false;LAURA;DE SANCHA;CHANTRERO
mdeldel;Abc123.,;false;MARIA PILAR;DEL FRAILE;DEL SOTO
mgompur;Abc123.,;false;MARIA DOLORES;GOMEZ DE ARANDA;PURTI
isarmus;Abc123.,;false;ISABEL;SARDINA;MUSET
jbarsan;Abc123.,;false;JOSEFA;BARRIA;SANTA TERESA
mborsan;Abc123.,;false;MARIA TERESA;BORDONAU;SAN ILDEFONSO
aconhin;Abc123.,;false;ANA;CONSTAN;HINESTROZA
mzazpeg;Abc123.,;false;MARTA;ZAZURCA;PEG
clampeg;Abc123.,;false;CRISTINA;LAMUEDRA;PEG
mcordel;Abc123.,;false;MARIA ANGELES;CORPS;DEL SANCHA
lmesdel;Abc123.,;false;LUCIA;MESADO;DEL FRAILE
mpodgom;Abc123.,;false;MARIA ISABEL;PODIO;GOMEZ DE ARANDA
marcbar;Abc123.,;false;MARIA JOSE;ARCANGEL;BARRIA
fdaqbar;Abc123.,;false;FRANCISCA;DAQUILEMA;BARRIA
abolzap;Abc123.,;false;ANTONIA;BOLONIO;ZAPORTA
dvieond;Abc123.,;false;DOLORES;VIELLA;ONDARZA
pcabpas;Abc123.,;false;PAULA;CABRANES;PASCUAS
scaltab;Abc123.,;false;SARA;CALACO;TABLERO
eensgar;Abc123.,;false;ELENA;ENSESA;GARCIA DE JALON
mmanhen;Abc123.,;false;MARIA LUISA;MANGRANE;HENAR
rmenraf;Abc123.,;false;RAQUEL;MENDICOTE;RAFELS
rsarzan;Abc123.,;false;ROSA MARIA;SARASTI;ZANABRIA
mvildan;Abc123.,;false;MANUELA;VILAGUT;DANCAUSA
mbrugon;Abc123.,;false;MARIA JESUS;BRUNEL;GONJAR
palmaba;Abc123.,;false;PILAR;ALMUDEVAR;ABAL
ccahcam;Abc123.,;false;CONCEPCION;CAHUE;CAMPOS
mgarcor;Abc123.,;false;MERCEDES;GARCIA DE LOS RIOS;CORRILLO
jcalayu;Abc123.,;false;JULIA;CALLISAYA;AYUSO
bhuacas;Abc123.,;false;BEATRIZ;HUAYTA;CASTRO
aampfra;Abc123.,;false;ALBA;AMPURDANES;FRANCO
